department,education,fullName,gender,eligibleOverTime,active,martialStatus,jobRole,attritionDescription,businessTravel,stockOptionLevel,birthdate,distancefromhome,environmentSatisfaction,GrossMonthlyRate,jobInvolvement,jobLevel,jobSatisfaction,netHourlyRate,numPreviousCompanies,percentSalaryHike,performanceRating,relationshipSatisfaction,totalWorkingYears,trainingTimesLY,worklifeBalance,yearsAtCompany,yearsCurrentRole,yearsSinceLastPromotion,yearsCurrManager,Date Recrutement,Date Exit
HR,Bachelor's Degree,Kathryne O'Kynsillaghe,Male,0,1,Married,Manager,Not enough career opportunities ,Travel_Rarely,Low,19820625,1,4,19562,2,5,3,59,1,12,3,2,22,3,3,22,7,2,10,4/3/2001 0:00,
HR,Bachelor's Degree,Lance Marsh,Female,1,0,Divorced,Human Resources,Lack of employee motivation,Travel_Frequently,High,19890815,23,2,11533,3,3,1,43,9,15,3,3,11,2,3,3,2,0,2,4/29/2013 0:00,4/28/2016 0:00
HR,Bachelor's Degree,Laurie Jones,Male,1,0,Divorced,Human Resources,Lack of employee motivation,Travel_Rarely,High,19940730,13,1,3157,2,1,1,56,4,15,3,4,4,3,3,2,2,2,0,8/3/2013 0:00,8/3/2015 0:00
HR,Bachelor's Degree,Marcel Measen,Male,0,1,Married,Manager,Poor workplace culture,Travel_Frequently,Low,19730625,3,1,7999,3,5,2,99,1,11,3,3,32,2,3,32,5,10,7,,
HR,Bachelor's Degree,Melissa Lyons,Female,0,0,Married,Human Resources,Lack of employee motivation,Travel_Frequently,None,19960722,22,1,19555,2,1,2,58,1,12,3,1,1,2,3,1,0,0,0,9/8/2014 0:00,9/8/2015 0:00
HR,Bachelor's Degree,Mendy Beardmore,Male,1,1,Divorced,Manager,Poor job satisfaction and pay,Travel_Rarely,Low,19720402,5,3,17588,3,4,2,84,1,11,3,2,33,2,3,33,9,0,10,,
HR,Bachelor's Degree,Michael Bennett,Male,0,1,Married,Manager,Poor job satisfaction and pay,Travel_Rarely,Low,19820923,1,4,19562,2,5,3,59,1,12,3,2,22,3,3,22,7,2,10,4/3/2001 0:00,
HR,Bachelor's Degree,Michael Chan,Female,0,0,Married,Human Resources,Not enough career opportunities ,Travel_Frequently,None,19961011,22,1,19555,2,1,2,58,1,12,3,1,1,2,3,1,0,0,0,,
HR,Bachelor's Degree,Mickey Boake,Female,0,1,Married,Human Resources,Poor job satisfaction and pay,Travel_Rarely,Low,19840821,3,3,18767,4,2,2,44,9,15,3,3,12,3,1,8,3,3,6,3/31/2015 0:00,
HR,Bachelor's Degree,Minetta Paske,Female,1,0,Divorced,Human Resources,Poor job satisfaction and pay,Travel_Frequently,High,19890820,23,2,11533,3,3,1,43,9,15,3,3,11,2,3,3,2,0,2,3/23/2012 0:00,3/23/2015 0:00
HR,Bachelor's Degree,Nicholas Webb,Male,0,1,Married,Human Resources,Poor workplace culture,Travel_Rarely,Low,19850702,1,3,6004,4,1,3,37,1,13,3,4,7,2,4,7,6,5,0,3/30/2016 0:00,
HR,Bachelor's Degree,Patrick Bright,Male,0,1,Single,Human Resources,Poor workplace culture,Travel_Rarely,None,19800208,2,2,5033,3,1,4,97,0,13,3,2,10,5,3,9,7,1,8,3/31/2014 0:00,
HR,Bachelor's Degree,Peter Gould,Male,1,1,Married,Human Resources,Lack of employee motivation,Travel_Rarely,None,19931024,9,3,13982,3,2,4,48,0,19,3,4,12,2,1,11,9,4,7,3/31/2012 0:00,
HR,Bachelor's Degree,Petrina Lowery,Male,0,1,Married,Human Resources,Poor workplace culture,Travel_Rarely,None,19920321,2,1,17822,2,2,1,62,3,12,3,4,9,1,3,2,2,1,0,3/29/2021 0:00,
HR,Bachelor's Degree,Philip Smith,Male,0,1,Divorced,Human Resources,Poor workplace culture,Non-Travel,High,19850325,2,1,7129,3,1,2,100,5,13,3,4,13,3,3,11,10,3,8,3/31/2012 0:00,
HR,Bachelor's Degree,Randall Davis,Male,0,1,Married,Human Resources,Lack of employee motivation,Travel_Frequently,Medium,19900131,11,3,21833,2,2,2,56,4,11,3,4,14,5,4,10,9,1,8,3/31/2013 0:00,
HR,Bachelor's Degree,Rhea Gitsham,Male,0,1,Married,Human Resources,Not fitting in and feeling a sense of belonging,Travel_Frequently,Medium,19890613,11,3,21833,2,2,2,56,4,11,3,4,14,5,4,10,9,1,8,3/31/2013 0:00,
HR,Bachelor's Degree,Samuel Fuller,Male,0,1,Divorced,Human Resources,Not enough career opportunities ,Non-Travel,High,19850707,2,1,7129,3,1,2,100,5,13,3,4,13,3,3,11,10,3,8,3/31/2012 0:00,
HR,Bachelor's Degree,Scott Salas,Female,0,1,Married,Human Resources,Not fitting in and feeling a sense of belonging,Travel_Rarely,None,19981220,2,3,19655,3,1,2,82,4,14,3,3,6,3,3,2,0,1,2,3/29/2021 0:00,
HR,Bachelor's Degree,Seline Flynn,Male,1,1,Married,Human Resources,Not enough career opportunities ,Travel_Rarely,None,19930303,9,3,13982,3,2,4,48,0,19,3,4,12,2,1,11,9,4,7,3/31/2012 0:00,
HR,Bachelor's Degree,Sherry Santiago,Male,0,1,Divorced,Human Resources,Lack of employee motivation,Travel_Rarely,Low,19930928,1,3,15428,3,1,3,46,0,21,4,1,6,3,4,5,3,1,3,3/30/2018 0:00,
HR,Bachelor's Degree,Stacy Perry,Female,0,1,Married,Human Resources,Lack of employee motivation,Travel_Rarely,Medium,19850107,2,4,7790,2,2,4,42,8,11,3,3,13,2,3,5,4,0,4,3/30/2018 0:00,
HR,Bachelor's Degree,Tammy Walker,Male,0,1,Married,Human Resources,Poor job satisfaction and pay,Non-Travel,Low,19820216,4,3,20794,1,2,2,60,6,19,3,2,10,4,3,3,2,1,2,3/29/2020 0:00,
HR,Bachelor's Degree,Terry Underwood,Female,1,1,Divorced,Human Resources,Poor job satisfaction and pay,Travel_Rarely,High,19790310,1,3,4167,3,1,4,44,4,18,3,1,8,2,3,2,2,2,2,3/29/2021 0:00,
HR,Bachelor's Degree,Timothy Sanders,Male,1,0,Divorced,Human Resources,Lack of employee motivation,Travel_Rarely,High,19941215,13,1,3157,2,1,1,56,4,15,3,4,4,3,3,2,2,2,0,,
HR,Bachelor's Degree,Veronica Chapman,Male,0,1,Married,Human Resources,Not enough career opportunities ,Travel_Rarely,None,19930122,2,1,17822,2,2,1,62,3,12,3,4,9,1,3,2,2,1,0,3/29/2021 0:00,
HR,Bachelor's Degree,William Lopez,Male,0,1,Divorced,Human Resources,Not fitting in and feeling a sense of belonging,Travel_Rarely,Low,19930604,1,3,15428,3,1,3,46,0,21,4,1,6,3,4,5,3,1,3,3/30/2018 0:00,
HR,Doctoral Degree,Allison Sutton,Male,1,1,Married,Human Resources,Poor job satisfaction and pay,Travel_Frequently,None,19790307,1,1,10503,3,2,4,37,4,11,3,3,14,3,3,10,7,0,2,3/31/2013 0:00,
HR,Doctoral Degree,Amanda Cox,Male,0,1,Married,Human Resources,Poor workplace culture,Non-Travel,Low,19810218,2,4,12858,4,2,1,79,7,16,3,1,10,3,4,4,3,0,3,3/30/2019 0:00,
HR,Doctoral Degree,Gillian Hugonin,Male,0,1,Married,Human Resources,Not enough career opportunities ,Non-Travel,Low,19820119,2,4,12858,4,2,1,79,7,16,3,1,10,3,4,4,3,0,3,3/30/2019 0:00,
HR,Doctoral Degree,Jordan White,Male,0,0,Married,Human Resources,Poor work-life balance,Travel_Rarely,None,19921018,18,4,21495,4,1,1,89,0,17,3,3,2,4,3,1,0,0,0,3/9/2014 0:00,3/9/2015 0:00
HR,Doctoral Degree,Michael Hamilton,Male,1,1,Married,Human Resources,Not enough career opportunities ,Travel_Frequently,None,19791020,1,1,10503,3,2,4,37,4,11,3,3,14,3,3,10,7,0,2,3/31/2013 0:00,
HR,Doctoral Degree,Suzanne Hughes,Male,0,0,Married,Human Resources,Poor job satisfaction and pay,Travel_Rarely,None,19920908,18,4,21495,4,1,1,89,0,17,3,3,2,4,3,1,0,0,0,5/17/2014 0:00,5/17/2015 0:00
HR,High School,Angelia Storie,Female,0,1,Married,Human Resources,Not fitting in and feeling a sense of belonging,Travel_Rarely,Low,19971015,25,3,8916,3,1,3,61,1,23,4,4,8,3,3,8,7,5,7,3/31/2015 0:00,
HR,High School,Bernadette Steen,Male,1,1,Divorced,Human Resources,Poor workplace culture,Travel_Rarely,Low,19811213,2,3,24017,3,1,3,52,0,11,3,3,4,5,3,3,2,1,0,3/29/2020 0:00,
HR,High School,Brandon Pearson,Female,0,1,Married,Human Resources,Not enough career opportunities ,Travel_Rarely,Low,19970414,25,3,8916,3,1,3,61,1,23,4,4,8,3,3,8,7,5,7,3/31/2015 0:00,
HR,High School,Chad Rodriguez,Male,0,1,Single,Human Resources,Poor work-life balance,Travel_Frequently,None,19870511,2,2,4223,2,2,4,94,1,21,4,4,10,2,2,10,1,0,8,3/31/2013 0:00,
HR,High School,Darryl Parker,Male,0,0,Married,Human Resources,Lack of employee motivation,Travel_Rarely,Low,19990409,22,4,11585,1,1,3,58,1,11,3,3,1,2,3,1,0,0,0,4/21/2014 0:00,4/21/2015 0:00
HR,High School,John Owens,Male,0,1,Married,Human Resources,Lack of employee motivation,Travel_Rarely,None,19941101,6,4,15434,2,1,2,87,1,11,3,4,1,3,3,1,0,0,0,3/29/2022 0:00,
HR,High School,Robert Reyes,Male,0,1,Married,Human Resources,Poor job satisfaction and pay,Travel_Rarely,None,19940904,6,4,15434,2,1,2,87,1,11,3,4,1,3,3,1,0,0,0,3/29/2022 0:00,
HR,High School,Tony Russell,Male,1,1,Divorced,Human Resources,Poor workplace culture,Travel_Rarely,Low,19810528,2,3,24017,3,1,3,52,0,11,3,3,4,5,3,3,2,1,0,3/29/2020 0:00,
HR,High School,William Roberts,Male,0,1,Single,Human Resources,Poor workplace culture,Travel_Frequently,None,19871230,2,2,4223,2,2,4,94,1,21,4,4,10,2,2,10,1,0,8,3/31/2013 0:00,
HR,High School,William Wang,Male,0,0,Married,Human Resources,Not enough career opportunities ,Travel_Rarely,Low,19990322,22,4,11585,1,1,3,58,1,11,3,3,1,2,3,1,0,0,0,8/17/2014 0:00,8/17/2015 0:00
HR,Master's Degree,Allison Snyder MD,Male,0,1,Single,Human Resources,Poor workplace culture,Travel_Rarely,None,19880221,8,3,7108,3,1,3,100,1,17,3,2,6,2,1,5,4,1,4,3/30/2018 0:00,
HR,Master's Degree,Ashley Gaines,Female,0,1,Married,Manager,Not enough career opportunities ,Travel_Rarely,Low,19760401,26,4,5220,3,5,3,98,3,11,3,3,27,2,3,5,2,1,0,3/30/2018 0:00,
HR,Master's Degree,Brandon Strickland,Female,0,1,Married,Manager,Not enough career opportunities ,Travel_Rarely,Low,19761005,26,4,5220,3,5,3,98,3,11,3,3,27,2,3,5,2,1,0,3/30/2018 0:00,
HR,Master's Degree,Brent Castro,Female,1,1,Single,Human Resources,Not fitting in and feeling a sense of belonging,Travel_Rarely,None,19880407,26,3,16642,3,3,4,31,1,16,3,3,9,2,3,9,0,1,7,3/31/2014 0:00,
HR,Master's Degree,Cedric Pappin,Male,1,0,Divorced,Human Resources,Not enough career opportunities ,Travel_Rarely,None,19860922,6,3,23648,3,1,1,63,4,22,4,4,7,3,3,3,2,0,2,4/12/2013 0:00,4/11/2016 0:00
HR,Master's Degree,Christin Jones,Female,0,0,Married,Human Resources,Poor job satisfaction and pay,Travel_Rarely,None,19890426,9,1,3072,3,1,3,52,1,15,3,4,2,0,3,2,2,2,2,7/2/2013 0:00,7/2/2015 0:00
HR,Master's Degree,Cynthia Smith,Female,0,1,Single,Human Resources,Lack of employee motivation,Travel_Rarely,None,19791031,1,1,26894,2,2,3,50,4,11,3,2,10,1,4,2,2,0,2,3/29/2021 0:00,
HR,Master's Degree,David Ellis,Male,0,1,Single,Manager,Poor work-life balance,Travel_Rarely,None,19670302,8,4,4022,3,5,2,99,6,14,3,1,36,4,3,7,3,7,7,3/30/2016 0:00,
HR,Master's Degree,Deborah Hayes,Male,0,1,Single,Human Resources,Poor workplace culture,Travel_Rarely,None,19781012,24,2,8318,3,1,2,36,1,16,3,1,6,3,3,6,3,0,4,3/30/2017 0:00,
HR,Master's Degree,Erin Clark,Female,1,1,Single,Human Resources,Poor workplace culture,Travel_Rarely,None,19880618,26,3,16642,3,3,4,31,1,16,3,3,9,2,3,9,0,1,7,3/31/2014 0:00,
HR,Master's Degree,Frank Johnston,Female,0,0,Married,Human Resources,Poor workplace culture,Travel_Rarely,None,19890308,9,1,3072,3,1,3,52,1,15,3,4,2,0,3,2,2,2,2,1/29/2014 0:00,1/29/2016 0:00
HR,Master's Degree,Gavrielle Boerder,Male,0,1,Divorced,Manager,Poor job satisfaction and pay,Travel_Rarely,High,19820919,10,2,8861,2,5,4,73,3,15,3,2,23,2,2,21,6,12,6,4/3/2002 0:00,
HR,Master's Degree,Hannah Matthews,Male,1,1,Married,Human Resources,Poor job satisfaction and pay,Travel_Frequently,Low,19850815,1,4,5224,3,1,2,88,0,11,3,2,7,2,3,6,2,1,2,3/30/2017 0:00,
HR,Master's Degree,Heather Wright,Male,0,1,Married,Human Resources,Poor workplace culture,Travel_Rarely,Low,19690110,19,3,6729,3,3,2,88,2,15,3,3,16,1,4,9,7,7,1,3/31/2014 0:00,
HR,Master's Degree,Heindrick Chivrall,Male,0,1,Married,Human Resources,Not fitting in and feeling a sense of belonging,Travel_Rarely,Low,19690817,19,3,6729,3,3,2,88,2,15,3,3,16,1,4,9,7,7,1,3/31/2014 0:00,
HR,Master's Degree,Holt Yanson,Female,1,0,Divorced,Human Resources,Poor job satisfaction and pay,Travel_Frequently,Low,19970602,17,2,22808,3,1,3,58,0,11,3,2,8,2,2,7,7,1,0,4/4/2008 0:00,4/3/2015 0:00
HR,Master's Degree,Jennifer Ryan,Male,0,1,Divorced,Manager,Lack of employee motivation,Travel_Rarely,High,19820909,10,2,8861,2,5,4,73,3,15,3,2,23,2,2,21,6,12,6,4/3/2002 0:00,
HR,Master's Degree,Jennifer Shepherd,Male,0,1,Married,Human Resources,Poor job satisfaction and pay,Travel_Frequently,None,19850726,10,3,14814,3,2,3,71,3,11,3,3,10,2,3,6,3,1,2,3/30/2017 0:00,
HR,Master's Degree,Karoly Clancy,Female,0,1,Married,Manager,Poor work-life balance,Non-Travel,Low,19640801,2,3,21922,2,5,4,32,9,21,4,4,30,3,3,3,2,2,2,3/29/2020 0:00,
HR,Master's Degree,Lezlie Matthewes,Female,0,1,Single,Human Resources,Poor job satisfaction and pay,Travel_Rarely,None,19791231,1,1,26894,2,2,3,50,4,11,3,2,10,1,4,2,2,0,2,3/29/2021 0:00,
HR,Master's Degree,Lorin Harnell,Male,0,1,Single,Human Resources,Poor work-life balance,Travel_Rarely,None,19780806,24,2,8318,3,1,2,36,1,16,3,1,6,3,3,6,3,0,4,3/30/2017 0:00,
HR,Master's Degree,Mary Shaw,Male,0,1,Married,Human Resources,Poor workplace culture,Travel_Frequently,None,19850826,10,3,14814,3,2,3,71,3,11,3,3,10,2,3,6,3,1,2,3/30/2017 0:00,
HR,Master's Degree,Melissa Hawkins,Female,1,0,Divorced,Human Resources,Not enough career opportunities ,Travel_Frequently,Low,19970221,17,2,22808,3,1,3,58,0,11,3,2,8,2,2,7,7,1,0,,
HR,Master's Degree,Mildred Pettendrich,Male,0,1,Single,Human Resources,Lack of employee motivation,Travel_Rarely,None,19880607,8,3,7108,3,1,3,100,1,17,3,2,6,2,1,5,4,1,4,3/30/2018 0:00,
