emp no,Full Name,Net Hourly Rate,Gorss Monthly Rate,Percent Salary Hike
STAFF-137,Stephanie Lopez,53,25150,15
STAFF-138,Mr. Robert Wright III,47,14590,14
STAFF-139,Joshua Williams,41,24835,18
STAFF-140,Kevin Wilson,48,13982,19
STAFF-141,Ellen Williamson,41,10224,22
STAFF-142,Melinda Gomez,83,9752,13
STAFF-143,Michael Chavez,32,2302,20
STAFF-144,Ronald Scott,75,23910,14
STAFF-145,Joseph Evans,35,22812,17
STAFF-146,Frank Carter,84,10415,14
STAFF-147,Tammy Malone,35,11162,13
STAFF-148,Jon Griffin,91,12888,13
STAFF-149,Karen Bailey,94,6961,21
STAFF-150,Lance Walker,79,16102,14
STAFF-151,Laurie Mcdonald,54,8504,11
STAFF-152,Jamie Webster,94,11439,13
STAFF-153,Justin Baldwin,34,16047,20
STAFF-154,Meredith Sanchez,60,10901,18
STAFF-155,Debra Pitts,43,15589,14
STAFF-156,John Ali,41,26283,13
STAFF-157,Megan Gaines,34,13983,17
STAFF-158,Erica Yates,75,11873,20
STAFF-159,Alyssa Alexander,67,8552,11
STAFF-160,Elizabeth Scott,75,11314,18
STAFF-161,Angelica Lutz,80,11992,24
STAFF-162,Candace Smith,57,5970,18
STAFF-163,Henry Bryant,42,6672,11
STAFF-164,Gary Vaughn,83,23402,16
STAFF-165,Michelle Townsend,79,25326,15
STAFF-166,Jessica Coleman,53,17053,15
STAFF-167,Erica Cruz,56,4609,12
STAFF-168,Jessica Holmes,41,8053,12
STAFF-169,Angela Perez,59,12930,22
STAFF-170,Valerie Ross,43,12430,20
STAFF-171,Mr. Christopher Mcdonald,51,13364,16
STAFF-172,Kimberly Brown,100,20989,21
STAFF-173,Allen Fischer,30,15062,12
STAFF-174,Jordan Velasquez,66,11012,11
STAFF-175,Thomas West,30,6319,11
STAFF-176,Ryan Ford,67,13939,18
STAFF-177,Christopher Gonzalez,90,10515,14
STAFF-178,Teresa Dodson,47,9241,22
STAFF-179,Molly Murray,92,2137,25
STAFF-180,Michael Simmons,75,6319,12
STAFF-181,Kelly White,95,6984,23
STAFF-182,Adam Trujillo,95,5711,15
STAFF-183,Keith Hendrix,70,21728,22
STAFF-184,Ernest Moore,86,3425,15
STAFF-185,Tara Lopez,57,26250,11
STAFF-186,Anne Coffey,72,4673,13
STAFF-187,Jason Davis,46,6499,14
STAFF-188,Elizabeth Campbell,61,13339,11
STAFF-189,Charles Bartlett,45,14074,17
STAFF-190,Christina Farmer,98,7192,18
STAFF-191,Mrs. Rebecca Costa,65,5678,14
STAFF-192,Maurice Dillon Jr.,99,11781,16
STAFF-193,Heather Ingram,50,15497,13
STAFF-194,Jessica Gonzales,37,5228,14
STAFF-195,Mackenzie Arias,65,20462,23
STAFF-196,Matthew Jenkins,65,22977,12
STAFF-197,Jocelyn Nelson,37,15986,11
STAFF-198,Shawn Ruiz,36,16439,16
STAFF-199,Kendra Weber,88,7259,14
STAFF-200,Seth Montgomery,54,4185,18
STAFF-201,Jamie Everett,60,9679,19
STAFF-202,Elizabeth Hayden,92,23793,15
STAFF-203,Tamara Evans,43,5972,17
STAFF-204,Alan Harmon,99,16523,15
STAFF-205,Natalie Henderson,70,11354,19
STAFF-206,Javier Dean,35,24525,22
STAFF-207,Amber Taylor,60,12392,16
STAFF-208,William Duncan,73,7703,13
STAFF-209,Steven Garcia,63,14242,14
STAFF-210,Candice Landry,97,12368,16
STAFF-211,Sarah Hayden,32,25812,11
STAFF-212,Erika Miller,88,20925,22
STAFF-213,Joseph Phillips,90,12916,14
STAFF-214,Mr. Jamie Bennett,81,15736,16
STAFF-215,Charles Green,88,8556,11
STAFF-216,Kelly Bell,75,14674,18
STAFF-217,Lynn Reyes,52,22967,15
STAFF-218,David Castillo,85,19757,14
STAFF-219,Arthur Thompson,57,16840,12
STAFF-220,Amy Ramos,52,17011,14
STAFF-221,Alexandra Nelson,62,9945,16
STAFF-222,Lorraine James,47,13248,21
STAFF-223,Lauren Greene,47,10056,14
STAFF-224,Timothy Casey,76,9647,12
STAFF-225,Jeremy Cox,90,4381,12
STAFF-226,Joseph Robles,70,8456,17
STAFF-227,Kevin Ortega,41,2539,17
STAFF-228,Felicia Carter,42,6599,14
STAFF-229,Elizabeth Hardy,92,9096,14
STAFF-230,James Ferguson,86,14961,13
STAFF-231,Ariel Poole,89,3300,15
STAFF-232,Valerie Lewis,58,4933,11
STAFF-233,Nicole Porter,52,25657,17
STAFF-234,Sara Greer,68,24118,11
STAFF-235,Debra Rush,58,22149,13
STAFF-236,Shannon Davis,80,7744,22
STAFF-237,Frederick Hart,39,21509,20
STAFF-238,Lisa Nunez,79,21030,18
STAFF-239,Miranda Ford,56,20990,11
STAFF-240,Holly Butler,62,9571,14
STAFF-241,Catherine Hendrix,96,15417,14
STAFF-242,Jamie Franklin,100,12069,18
STAFF-243,Renee Mercado,36,19877,16
STAFF-244,Debra Hunt,62,24447,17
STAFF-245,Anna Mcgee,70,15970,11
STAFF-246,Jonathan Pratt,73,13523,12
STAFF-247,Melissa Noble,63,14776,13
STAFF-248,Valerie Weaver,84,23687,13
STAFF-249,Michael Crawford,83,18697,14
STAFF-250,Angela Jones,77,5118,17
STAFF-251,Margaret Galloway,61,22573,11
STAFF-252,Michael Perkins,64,6420,25
STAFF-253,Thomas Mccann,60,22673,19
STAFF-254,Kathryn Wu,82,23016,13
STAFF-255,Rebecca Thomas,45,10732,14
STAFF-256,Emily Powell,62,7505,12
STAFF-257,Connie Salazar,56,8007,11
STAFF-258,Kelly Johnson,49,5949,19
STAFF-259,Kelly Robertson,96,23231,11
STAFF-260,Peter Johnson,71,11652,11
STAFF-261,Corey Martin,100,26062,20
STAFF-262,Timothy Walsh,39,19682,18
STAFF-263,Beth Anderson,84,19737,13
STAFF-264,Kimberly Zimmerman,75,14977,12
STAFF-265,Terry Singleton,79,14935,11
STAFF-266,Renee Rhodes,78,3687,19
STAFF-267,Erica Stevenson,64,14408,21
STAFF-268,Sally Reed,85,18384,12
STAFF-269,Ashley Smith,79,7501,14
STAFF-270,Sandra Bell,47,20251,11
STAFF-271,Patricia Harris,81,18938,14
STAFF-272,Kelly Jackson,88,10268,12
STAFF-273,Jennifer Brooks,94,2613,23
STAFF-274,Jimmy Welch,98,22825,14
STAFF-275,Stephanie Foster,100,10531,17
STAFF-276,Christina Johnson,80,11677,18
STAFF-277,Monique Terry,71,19100,18
STAFF-278,Christopher Holt,44,19191,24
STAFF-279,Kenneth Garcia,84,26767,20
STAFF-280,Jorge Carter,96,15815,14
STAFF-281,Rebecca Palmer,45,21016,16
STAFF-282,Reginald Castro,99,24532,25
STAFF-283,Christopher Leonard,44,20260,18
STAFF-284,Pamela Ford,37,15972,19
STAFF-285,Edwin Moran,60,22722,13
STAFF-286,Brandon Powell,42,15881,12
STAFF-287,Christina Hayes,43,19920,22
STAFF-288,Michael Fischer,82,18899,14
STAFF-289,Ruth Burke,45,14180,13
STAFF-290,Mark Barrera,66,4488,21
STAFF-291,Jacob Baker,35,25594,11
STAFF-292,Misty Browning,30,26285,12
STAFF-293,Richard Stephens,84,3909,11
STAFF-294,Nicole Powers,48,8450,12
STAFF-295,Courtney House,53,11411,12
STAFF-296,Jessica Alvarez,77,14864,14
STAFF-297,Matthew Gonzales,54,25233,13
STAFF-298,Justin Cain,96,5100,15
STAFF-299,John Williams,81,7122,18
STAFF-300,Tammy Moreno,84,16321,18
STAFF-301,Jenna Leonard PhD,88,15896,19
STAFF-302,Lindsay Strickland,69,9724,12
STAFF-303,Gary Cannon,68,4824,19
STAFF-304,Scott Schroeder,100,12241,11
STAFF-305,Steven Rogers,48,10942,17
STAFF-306,Jacqueline Kim,47,6927,15
STAFF-307,Jason Lynch,91,16985,14
STAFF-308,Theresa Shea,81,26707,17
STAFF-309,Sabrina Fields,32,17056,13
STAFF-310,Patricia Boyd,86,10077,12
STAFF-311,Eric Tucker,62,17822,12
STAFF-312,Stephen Moore,97,20308,18
STAFF-313,Rose Nelson,32,7747,18
STAFF-314,Sean Garcia,74,23364,11
STAFF-315,Anthony Santiago,99,5355,14
STAFF-316,Joshua Johnson,33,10675,19
STAFF-317,Nicole Martin,90,17810,12
STAFF-318,Lisa Nelson,85,17747,15
STAFF-319,Brian Clayton,85,20938,12
STAFF-320,Ricardo Phillips,65,24624,11
STAFF-321,Andrew Carr,74,5242,11
STAFF-322,Tara Walsh,73,7143,12
STAFF-323,Teresa Nielsen,74,10557,16
STAFF-324,Tammy Martin,84,24737,13
STAFF-325,Christopher Williams,64,11934,13
STAFF-326,Paul Powers,48,14034,24
STAFF-327,Heather Gonzalez,54,21141,15
STAFF-328,Mindy Tyler,41,17778,18
STAFF-329,Daniel Johnson,46,4317,14
STAFF-330,Jennifer Mendez,42,16375,11
STAFF-331,Rebecca Hughes,82,6227,11
STAFF-332,Matthew King,73,22107,13
STAFF-333,Tony Marquez,31,16885,12
STAFF-334,Jennifer Simpson,43,9262,16
STAFF-335,Rebecca Mendoza,75,9278,14
STAFF-336,Annette Hernandez,57,13273,22
STAFF-337,Stephanie Johnson,77,4759,11
STAFF-338,Deanna Odonnell,30,7621,17
STAFF-339,Eduardo Williams,30,5431,13
STAFF-340,Scott Brennan,56,3415,18
STAFF-341,Jonathan Vazquez,61,23177,16
STAFF-342,Morgan Wood,92,15682,14
STAFF-343,Kathy Gonzalez,39,25713,14
STAFF-344,Melissa Patel,39,11866,14
STAFF-345,Frederick Smith,62,18264,13
STAFF-346,Jason Peters,83,16092,12
STAFF-347,Michelle Holmes,95,10110,15
STAFF-348,Troy Ferguson,99,25751,19
STAFF-349,Austin Reynolds,44,15901,14
STAFF-350,Ryan Thompson,61,16928,14
STAFF-351,Amber Moreno,52,24017,11
STAFF-352,Mr. Matthew Jones,75,3956,13
STAFF-353,Thomas Miller,91,23978,21
STAFF-354,Kevin West,51,17001,13
STAFF-355,Laura Taylor,85,6069,12
STAFF-356,Barbara Moore,57,20156,17
STAFF-357,Sarah Lewis,98,17078,23
STAFF-358,Caroline Jackson,99,9150,11
STAFF-359,Reginald Wright,45,15276,15
STAFF-360,Jessica Franco,48,7246,11
STAFF-361,Samuel Palmer,88,2967,11
STAFF-362,Brendan Smith,46,22495,13
STAFF-363,Gary Lambert,39,2851,24
STAFF-364,Chelsea Gonzales,34,9150,13
STAFF-365,Amanda Malone,98,17663,20
STAFF-366,Cassandra Wilson,30,16044,14
STAFF-367,Kevin Becker,56,9558,18
STAFF-368,Kelsey Myers,100,2755,15
STAFF-369,Bill Riddle,68,6110,12
STAFF-370,Kenneth Martin,42,7551,16
STAFF-371,James James,90,25422,15
STAFF-372,Michael Walker,54,18168,16
STAFF-373,Frederick Thompson,97,19394,19
STAFF-374,James Baker,82,17881,11
STAFF-375,Michael Mccoy,92,20750,16
STAFF-376,Carlos Schneider,31,12066,24
STAFF-377,Sean Boone,87,14862,11
STAFF-378,Laura Oliver,96,11868,13
STAFF-379,Travis Kim MD,67,4652,13
STAFF-380,Cassandra Freeman,97,23258,13
STAFF-381,Mr. Cameron Ramos Jr.,77,5915,12
STAFF-382,Pamela Guerra DVM,72,17434,18
STAFF-383,Daniel Smith,73,6582,22
STAFF-384,Emma Harper,43,24440,13
STAFF-385,Karen Young,61,3809,13
STAFF-386,Dr. Jordan Hendrix,40,3427,23
STAFF-387,Kenneth Preston,95,26914,12
STAFF-388,Ariel Clark,46,22553,12
STAFF-389,Benjamin Baker,95,20490,16
STAFF-390,Kristen Hodge,49,21123,12
STAFF-391,Corey Jacobson,59,4345,11
STAFF-392,Brittany King,78,13436,22
STAFF-393,Adam Glass,86,8509,11
STAFF-394,Justin Flores,72,12740,15
STAFF-395,John Smith,31,4156,12
STAFF-396,Yolanda Davidson,61,15238,20
STAFF-397,Vanessa Mills,74,2227,14
STAFF-398,Deborah Estes,99,12090,11
STAFF-399,Robin Roy,72,23866,15
STAFF-400,Jorge White,98,16193,12
STAFF-401,Amy Ramirez,52,8213,14
STAFF-402,Raymond Burgess,86,18256,11
STAFF-403,Lisa Brown,83,19558,11
STAFF-404,Crystal Ochoa MD,49,19566,16
STAFF-405,Benjamin Salinas,79,13535,12
STAFF-406,Michael Chen,91,9396,13
STAFF-407,Robert Reese,39,19609,14
STAFF-408,Jennifer Wilson,69,9655,21
STAFF-409,Jennifer Hill,30,10310,13
STAFF-410,Sonya Wade,92,12932,11
STAFF-411,Fernando Parker,43,24793,20
STAFF-412,Carly Smith,41,3854,11
STAFF-413,Jacob Smith,87,26314,14
STAFF-414,Jennifer Santos,88,4386,11
STAFF-415,Allison Dorsey,62,21972,16
STAFF-416,Linda Hall,33,12253,16
STAFF-417,Austin Barnes,42,12106,23
STAFF-418,Charles Alvarado,79,13022,14
STAFF-419,Stephen Larsen,90,3032,22
STAFF-420,Andrew Sharp,53,16734,15
STAFF-421,Brian Carroll,93,21526,18
STAFF-422,Marie Lindsey,71,18300,16
STAFF-423,Wayne Hurst,52,18437,12
STAFF-424,Gregory Gonzalez,69,2890,11
STAFF-425,Michelle Harvey,56,22102,12
STAFF-426,Steven Flynn,88,9314,15
STAFF-427,David Moses,49,7181,14
STAFF-428,Sharon Alexander,80,2845,19
STAFF-429,Julia Walker,65,7389,13
STAFF-430,Jose Gonzales,51,2288,13
STAFF-431,Karen Owens,46,19225,15
STAFF-432,Elizabeth Hamilton,42,23428,11
STAFF-433,Nichole Anderson,62,8416,12
STAFF-434,Rita Ashley,94,11563,19
STAFF-435,Devin Gibson Jr.,33,14394,25
STAFF-436,Tracy Rogers,56,24619,12
STAFF-437,Austin Allen,38,6705,13
STAFF-438,Michael Garcia MD,57,18398,14
STAFF-439,Luis House,72,14295,12
STAFF-440,Austin Williams,66,22908,12
STAFF-441,Anthony Villarreal,43,11533,15
STAFF-442,William Price,97,9260,17
STAFF-443,Antonio Wheeler,32,15318,14
STAFF-444,Ernest Bowman,99,9129,16
STAFF-445,Matthew Burns,37,19658,14
STAFF-446,Paul Vega,83,9873,23
STAFF-447,Brett Huber,56,13430,14
STAFF-448,Jacqueline Carter,85,18659,11
STAFF-449,Daniel Diaz,75,20364,15
STAFF-450,Bianca Patrick,48,17872,11
STAFF-451,Ryan Bautista,77,8346,13
STAFF-452,Becky Johnson,56,6950,21
STAFF-453,Stephanie Anderson,61,16177,19
STAFF-454,Michael Dickson,58,22808,11
STAFF-455,Joseph Perez,34,22645,12
STAFF-456,Larry Young Jr.,95,22578,19
STAFF-457,Janet Glenn,44,25291,21
STAFF-458,Kevin Roberts,69,8059,14
STAFF-459,Colton Nichols,58,11373,15
STAFF-460,Erica Newman,62,2112,17
STAFF-461,Daryl Smith,45,4267,12
STAFF-462,Allison Hurley,80,6698,16
STAFF-463,Ruben Jones,74,19921,12
STAFF-464,Zachary Turner,66,23213,18
STAFF-465,Brittany Avila,59,23848,17
STAFF-466,Matthew Brown,86,8984,11
STAFF-467,George Morris,91,5626,16
STAFF-468,Chris Newman,69,24666,13
STAFF-469,Michael Macias,78,22087,12
STAFF-470,Jennifer Peterson,60,23914,12
STAFF-471,Dr. Rita Smith,38,5530,13
STAFF-472,Susan Smith,76,22174,19
STAFF-473,Lisa Castro,65,15701,12
STAFF-474,Monica Ford,58,2125,17
STAFF-475,Shawn Baker,89,21630,11
STAFF-476,Joshua Stewart,66,7428,20
STAFF-477,Sandra Dawson,94,9100,21
STAFF-478,Adam Pugh,99,7999,11
STAFF-479,Karen Moore,40,26376,11
STAFF-480,Jeffrey Harrell,55,14168,16
STAFF-481,Jennifer Russell,74,14470,18
STAFF-482,William Pratt,83,22794,13
STAFF-483,Kevin Keller,46,11512,17
STAFF-484,Christopher Moss,54,14004,14
STAFF-485,Nancy Johnson,66,6219,22
STAFF-486,Steven Zamora,66,5013,12
STAFF-487,Shirley Mcintosh,75,3010,11
STAFF-488,Melissa Stuart,83,11757,13
STAFF-489,Rebecca Johnson,81,5718,13
STAFF-490,Misty Richardson,50,2671,14
STAFF-491,Scott Elliott,43,14561,17
STAFF-492,Jon Herrera,72,19627,13
STAFF-493,Tim Rogers,40,17997,11
STAFF-494,Manuel Sherman,50,26894,11
STAFF-495,Erin Johnson,31,2912,18
STAFF-496,Darrell Brooks,85,16346,11
STAFF-497,Heather Gonzalez,49,24444,11
STAFF-498,Patrick Cain,35,9358,12
STAFF-499,Rebecca Reynolds,69,12145,20
STAFF-500,William Morton,39,20431,12
STAFF-501,Christian Campos,92,18089,12
STAFF-502,William Weaver,71,22653,20
STAFF-503,Laura Woods,34,7507,20
STAFF-504,Kenneth Smith,42,7660,12
STAFF-505,Jason Davis,100,5630,14
STAFF-506,Vincent King,71,17759,13
STAFF-507,Jennifer Keith,36,9606,15
STAFF-508,Matthew Singh,62,3487,14
STAFF-509,Ryan Warren,82,19368,13
STAFF-510,Andrew Gomez,30,5335,23
STAFF-511,Kimberly Holmes,88,6729,15
STAFF-512,Aaron Gray,48,13934,11
STAFF-513,Susan Oneal,54,15174,13
STAFF-514,Christopher Jones,32,26999,11
STAFF-515,Timothy Yates,70,3164,11
STAFF-516,Kyle Donaldson,41,16900,18
STAFF-517,Justin Larson,58,8544,16
STAFF-518,Mark Reyes,57,15678,22
STAFF-519,Mr. Joshua Lee DDS,46,7791,20
STAFF-520,James Barnes,76,18959,18
STAFF-521,Ashley Robinson,56,18597,12
STAFF-522,Amy Mendoza,71,16673,20
STAFF-523,Julie Jones,80,15232,17
STAFF-524,John Merritt,74,3297,11
STAFF-525,Joshua Watts,46,17654,14
STAFF-526,Dennis Rodriguez,65,24785,14
STAFF-527,Marie Mitchell,80,20978,11
STAFF-528,John Harris,55,21703,12
STAFF-529,Anna Nguyen,50,23452,14
STAFF-530,Alexander Murphy,33,19383,13
STAFF-531,Daniel Turner,68,6009,11
STAFF-532,James Taylor,39,19373,15
STAFF-533,Jodi Jackson,42,11825,12
STAFF-534,Nicholas Martinez,48,23772,21
STAFF-535,Jonathan Martin,59,13514,19
STAFF-536,Renee Taylor,73,8861,15
STAFF-537,Terri Robinson,84,11924,14
STAFF-538,Kurt Mooney,32,4809,21
STAFF-539,Heather Brown,59,19562,12
STAFF-540,Kelly Wolfe,54,9983,15
STAFF-541,Tamara Atkins,67,3872,13
STAFF-542,Daisy Harris,63,20335,14
STAFF-543,Kenneth Jones,81,15397,14
STAFF-544,Donna Guerrero,49,2104,14
STAFF-545,James Coffey,49,10225,12
STAFF-546,Janice Hawkins,99,25275,23
STAFF-547,Zachary Kelly,99,2755,11
STAFF-548,Kristin Hill,57,20366,12
STAFF-549,Leslie Watts,47,23683,18
STAFF-550,Joshua Morrison,96,7360,11
STAFF-551,Alan Collins,37,4344,14
STAFF-552,David King,44,18767,15
STAFF-553,Chad Johnson,81,20420,11
STAFF-554,April Green,86,22929,20
STAFF-555,Shelly Lewis DVM,55,23398,19
STAFF-556,Claire Johnson,83,17967,14
STAFF-557,Ashley Hunt,86,10919,17
STAFF-558,Felicia Diaz,61,4761,11
STAFF-559,Paul Jones,80,21146,15
STAFF-560,Regina Juarez,92,20471,13
STAFF-561,Dr. Jill Davis,32,4187,14
STAFF-562,April Alexander,31,10084,11
STAFF-563,Danielle Smith,63,5207,13
STAFF-564,James Davis,32,22807,23
STAFF-565,Nicholas Mayo,46,12388,13
STAFF-566,Anna Dixon,79,19630,18
STAFF-567,Martha Harris,77,10339,12
STAFF-568,Kimberly Green,60,18686,22
STAFF-569,Dr. John Martin,78,21199,13
STAFF-570,Patricia Weeks,76,14229,15
STAFF-571,Mark Maxwell,41,26589,18
STAFF-572,Colleen Brown,71,5288,14
STAFF-573,Mitchell Hickman,66,25549,12
STAFF-574,Stacy Burns,38,3064,17
STAFF-575,Thomas Humphrey MD,72,13551,16
STAFF-576,Cassandra Davis,95,22670,11
STAFF-577,Nicholas Huerta,84,24008,19
STAFF-578,Colleen Morris,82,19905,13
STAFF-579,Ashley Young DDS,75,26085,12
STAFF-580,Edward Rowe,86,7530,11
STAFF-581,Alyssa Curtis,72,20317,16
STAFF-582,Kara Lambert,38,24375,21
STAFF-583,Jennifer Stewart,38,9931,24
STAFF-584,Amanda Roberts,93,13305,17
STAFF-585,Jennifer Gomez,66,16225,13
STAFF-586,Linda Ward,63,3445,21
STAFF-587,Laura Cardenas,60,26551,11
STAFF-588,Katelyn Price,82,21821,20
STAFF-589,Ashley Shaw,64,6881,16
STAFF-590,Rebecca Munoz,36,6689,11
STAFF-591,Deanna Avery,49,25995,11
STAFF-592,Willie Wang DDS,69,26507,15
STAFF-593,Robert Garcia,33,12982,11
STAFF-594,Kelly Riley,35,23361,15
STAFF-595,Terry Lawson,81,23779,24
STAFF-596,Jillian Crane MD,31,25761,12
STAFF-597,Ryan Allen,40,13301,13
STAFF-598,Andrew Castro,43,4051,13
STAFF-599,Jennifer Salinas,46,16374,17
STAFF-600,Steven Herrera,36,25527,13
STAFF-601,Cody Massey,98,19124,12
STAFF-602,Steve Owens,51,11983,14
STAFF-603,Alejandro Myers,52,20234,24
STAFF-604,Steven Mitchell,95,6153,14
STAFF-605,John Diaz,98,11806,13
STAFF-606,Kelsey Reyes,45,4284,15
STAFF-607,Megan James,100,8306,16
STAFF-608,Phillip Mcgee,43,5860,18
STAFF-609,Travis Dixon,37,21519,16
STAFF-610,Jessica Martinez,94,5200,24
STAFF-611,Gabriella Stafford,42,8842,16
STAFF-612,Tyler Johnson,59,18869,21
STAFF-613,Jason Ball,81,3698,20
STAFF-614,Jordan Thompson,88,2243,19
STAFF-615,Kristen Williams,88,20898,14
STAFF-616,Katelyn Anderson,50,16571,11
STAFF-617,Donna Green,66,5594,14
STAFF-618,Jeremy Savage,50,5197,12
STAFF-619,John Campbell,65,21632,13
STAFF-620,Erin Lee,48,21816,22
